asset,strategy,return_pct,hold_pct,outperform,trades,max_dd,current_price
DOGE,SMA,33.80884278551316,-11.852857604370792,45.66170038988395,13,-9.208764143808331,0.10613764822483063
ADA,SMA,33.552248932648446,-12.269886825586395,45.82213575823484,15,-9.676818647497747,0.2968197762966156
XRP,SMA,28.431543890945786,-10.13482829055815,38.56637218150394,15,-7.896389400072964,1.663069725036621
ETH,SMA,22.16499569703936,-18.465830511629612,40.63082620866897,15,-7.662533541586675,2429.581298828125
BTC,SMA,21.008566976542298,-10.030485176373682,31.03905215291598,17,-4.5683509279689,78918.390625
XRP,COMBINED,19.1345227374916,-10.13482829055815,29.26935102804975,61,-6.697874594690539,1.663069725036621
DOT,SMA,18.12219621094464,-13.875186838857822,31.997383049802462,17,-13.393737528067613,1.5493963956832886
LINK,SMA,16.624254200838806,-18.88435710440932,35.508611305248124,13,-10.428280103616046,9.933646202087402
AVAX,SMA,16.247062678846813,-17.44851342233512,33.695576101181935,13,-12.983117362745187,10.175777435302734
NEAR,SMA,14.794948363804883,-20.628213587405252,35.42316195121013,15,-18.48085314614306,1.2048556804656982
ETH,COMBINED,14.18016190404443,-18.465830511629612,32.645992415674044,69,-8.125606050771218,2429.581298828125
BTC,COMBINED,12.36771785095172,-10.030485176373682,22.3982030273254,70,-6.580283939156625,78918.390625
XRP,MACD,9.837501584037412,-10.13482829055815,19.972329874595562,49,-13.493082445741877,1.663069725036621
SOL,SMA,8.99906773337914,-15.492498716031678,24.49156644941082,17,-11.893523341168894,105.5011215209961
ETH,MACD,6.195328111049503,-18.465830511629612,24.661158622679114,57,-16.630964262297553,2429.581298828125
SOL,COMBINED,4.393831555498762,-15.492498716031678,19.88633027153044,69,-11.90650041378349,105.5011215209961
ATOM,SMA,3.933089010279933,1.8061422633426583,2.126946746937275,19,-23.125710011433686,1.9792402982711792
ADA,COMBINED,3.820009467595631,-12.269886825586395,16.089896293182026,63,-17.2324858132065,0.2968197762966156
BTC,MACD,3.726868725361143,-10.030485176373682,13.757353901734826,58,-13.627055839054178,78918.390625
DOGE,COMBINED,2.20402008114281,-11.852857604370792,14.056877685513602,73,-15.412114178255043,0.10613764822483063
SOL,MACD,-0.21140462238161684,-15.492498716031678,15.281094093650061,54,-20.95239331005409,105.5011215209961
AVAX,COMBINED,-3.1084993346709666,-17.44851342233512,14.340014087664155,77,-16.98600255762962,10.175777435302734
LTC,SMA,-6.214133523404963,-23.12011704070056,16.905983517295596,25,-26.215687558692508,59.50429153442383
LINK,COMBINED,-7.888020301514464,-18.88435710440932,10.996336802894858,75,-19.368502612551705,9.933646202087402
NEAR,COMBINED,-10.191760196995514,-20.628213587405252,10.436453390409739,75,-23.757890157050856,1.2048556804656982
LTC,COMBINED,-10.908387644714546,-23.12011704070056,12.211729395986014,85,-21.627783867522897,59.50429153442383
ATOM,COMBINED,-12.2319934558902,1.8061422633426583,-14.038135719232859,77,-22.21281764908947,1.9792402982711792
DOT,COMBINED,-13.16031134160357,-13.875186838857822,0.7148754972542513,73,-21.537292339890822,1.5493963956832886
LTC,MACD,-15.602641766024128,-23.12011704070056,7.517475274676432,67,-24.683391458966103,59.50429153442383
AVAX,MACD,-22.464061348188746,-17.44851342233512,-5.015547925853625,67,-31.136946770167135,10.175777435302734
ADA,MACD,-25.91222999745718,-12.269886825586395,-13.642343171870786,53,-35.840387138272014,0.2968197762966156
ATOM,MACD,-28.39707592206033,1.8061422633426583,-30.20321818540299,63,-32.761243583843935,1.9792402982711792
DOGE,MACD,-29.40080262322754,-11.852857604370792,-17.54794501885675,63,-40.27426002892905,0.10613764822483063
LINK,MACD,-32.40029480386774,-18.88435710440932,-13.515937699458416,65,-33.789280528167595,9.933646202087402
NEAR,MACD,-35.17846875779591,-20.628213587405252,-14.55025517039066,65,-40.059678387110075,1.2048556804656982
DOT,MACD,-44.442818894151785,-13.875186838857822,-30.567632055293963,65,-41.314305171379736,1.5493963956832886
