asset,strategy,mode,start_date,end_date,trading_days,candles,initial_capital,final_value,hold_final_value,strategy_return_pct,hold_return_pct,outperformance_pct,total_trades,buy_signals,sell_signals,max_drawdown_pct,sharpe_ratio,plot_file
SOL,ICHIMOKU,long_only,2026-01-06,2026-02-06,30,745,91.0,91.69311780700811,56.347863601786216,0.761667919789133,-38.0792707672679,38.84093868705703,2,1,2,0.0,3.4313544772271927,/Users/Abel/clawd/simple_trader/backtest_results/1mo/SOL_ICHIMOKU_backtest.png
BTC,ICHIMOKU,long_only,2026-01-06,2026-02-06,30,744,91.0,91.22921366264234,68.39762520074476,0.2518831457608117,-24.83777450467609,25.0896576504369,2,1,2,0.0,3.4336628222425403,/Users/Abel/clawd/simple_trader/backtest_results/1mo/BTC_ICHIMOKU_backtest.png
LINK,ICHIMOKU,long_only,2026-01-06,2026-02-06,30,745,91.0,91.0,57.62142806976132,0.0,-36.67974937388866,36.67974937388866,0,0,0,0.0,0.0,/Users/Abel/clawd/simple_trader/backtest_results/1mo/LINK_ICHIMOKU_backtest.png
DOT,ICHIMOKU,long_only,2026-01-06,2026-02-06,30,745,91.0,91.0,55.479637993276306,0.0,-39.03336484255351,39.03336484255351,0,0,0,0.0,0.0,/Users/Abel/clawd/simple_trader/backtest_results/1mo/DOT_ICHIMOKU_backtest.png
AVAX,ICHIMOKU,long_only,2026-01-06,2026-02-06,30,745,91.0,91.0,57.440873610707655,0.0,-36.87816086735422,36.87816086735422,0,0,0,0.0,0.0,/Users/Abel/clawd/simple_trader/backtest_results/1mo/AVAX_ICHIMOKU_backtest.png
XRP,ICHIMOKU,long_only,2026-01-06,2026-02-06,30,745,91.0,91.0,57.75727828167288,0.0,-36.53046342673309,36.53046342673309,0,0,0,0.0,0.0,/Users/Abel/clawd/simple_trader/backtest_results/1mo/XRP_ICHIMOKU_backtest.png
BTC,MACD,long_only,2026-01-06,2026-02-06,30,744,91.0,90.88598787379235,68.39762520074476,-0.12528805077763883,-24.83777450467609,24.712486453898453,82,81,82,-7.642876404102818,0.1032341104048652,/Users/Abel/clawd/simple_trader/backtest_results/1mo/BTC_MACD_backtest.png
ATOM,ICHIMOKU,long_only,2026-01-06,2026-02-06,30,745,91.0,90.52436286713277,71.65853565839275,-0.5226781679859682,-21.254356419348632,20.731678251362663,4,3,4,-0.5226781679859719,-4.769668684865654,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ATOM_ICHIMOKU_backtest.png
LTC,ICHIMOKU,long_only,2026-01-06,2026-02-06,30,745,91.0,90.34370507952113,59.74254966917584,-0.7212032093174447,-34.348846517389184,33.62764330807174,2,1,2,-0.7212032093174405,-3.431354477227193,/Users/Abel/clawd/simple_trader/backtest_results/1mo/LTC_ICHIMOKU_backtest.png
DOGE,ICHIMOKU,long_only,2026-01-06,2026-02-06,30,745,91.0,90.32665213286408,59.89641858567635,-0.739942711138375,-34.17975979596005,33.43981708482168,2,1,2,-0.7399427111383698,-3.4313544772271927,/Users/Abel/clawd/simple_trader/backtest_results/1mo/DOGE_ICHIMOKU_backtest.png
ETH,ICHIMOKU,long_only,2026-01-06,2026-02-06,30,745,91.0,90.1984189939193,57.06945809007545,-0.8808582484403193,-37.28630979112588,36.40545154268556,2,1,2,-0.8808582484403249,-3.431354477227192,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ETH_ICHIMOKU_backtest.png
ADA,ICHIMOKU,long_only,2026-01-06,2026-02-06,30,745,91.0,90.1906732249958,60.05695012982066,-0.8893700824221917,-34.00335150569158,33.113981423269394,2,1,2,-0.889370082422192,-3.4313544772271927,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ADA_ICHIMOKU_backtest.png
DOT,BREAKOUT,long_only,2026-01-06,2026-02-06,30,745,91.0,89.71410570944668,55.479637993276306,-1.4130706489596911,-39.03336484255351,37.62029419359382,24,23,24,-7.399378717166945,-0.7552259988992925,/Users/Abel/clawd/simple_trader/backtest_results/1mo/DOT_BREAKOUT_backtest.png
BTC,COMBINED,long_only,2026-01-06,2026-02-06,30,744,91.0,88.98890909074336,68.39762520074476,-2.209990010172125,-24.83777450467609,22.627784494503967,34,33,34,-2.819642270117285,-1.993157570584157,/Users/Abel/clawd/simple_trader/backtest_results/1mo/BTC_COMBINED_backtest.png
BTC,SMA,long_only,2026-01-06,2026-02-06,30,744,91.0,88.85485286862526,68.39762520074476,-2.357304539972249,-24.83777450467609,22.480469964703843,26,25,26,-10.71763058864366,-0.9726742155162562,/Users/Abel/clawd/simple_trader/backtest_results/1mo/BTC_SMA_backtest.png
XRP,COMBINED,long_only,2026-01-06,2026-02-06,30,745,91.0,88.8058878996484,57.75727828167288,-2.4111121981885697,-36.53046342673309,34.119351228544524,14,13,14,-2.411112198188575,-3.400272950856786,/Users/Abel/clawd/simple_trader/backtest_results/1mo/XRP_COMBINED_backtest.png
NEAR,ICHIMOKU,long_only,2026-01-06,2026-02-06,30,745,91.0,88.5714118387235,54.31588372681741,-2.6687781992049353,-40.31221568481603,37.643437485611095,4,3,4,-2.6687781992049384,-4.85593688794734,/Users/Abel/clawd/simple_trader/backtest_results/1mo/NEAR_ICHIMOKU_backtest.png
ATOM,COMBINED,long_only,2026-01-06,2026-02-06,30,745,91.0,88.34270024230949,71.65853565839275,-2.9201096238357205,-21.254356419348632,18.33424679551291,40,39,40,-11.746225382046479,-1.0847573797013341,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ATOM_COMBINED_backtest.png
SOL,COMBINED,long_only,2026-01-06,2026-02-06,30,745,91.0,87.90379764868712,56.347863601786216,-3.4024201662778975,-38.0792707672679,34.67685060099,36,35,36,-6.26171017478588,-2.57287785596488,/Users/Abel/clawd/simple_trader/backtest_results/1mo/SOL_COMBINED_backtest.png
ETH,COMBINED,long_only,2026-01-06,2026-02-06,30,745,91.0,87.51862796479661,57.06945809007545,-3.8256835551685686,-37.28630979112588,33.460626235957314,34,33,34,-7.047095776912387,-3.0688913365753123,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ETH_COMBINED_backtest.png
BTC,BREAKOUT,long_only,2026-01-06,2026-02-06,30,744,91.0,87.41577562294438,68.39762520074476,-3.9387081066545315,-24.83777450467609,20.89906639802156,44,43,44,-5.221060268376914,-4.2245333998222625,/Users/Abel/clawd/simple_trader/backtest_results/1mo/BTC_BREAKOUT_backtest.png
LINK,BREAKOUT,long_only,2026-01-06,2026-02-06,30,745,91.0,87.10574244733465,57.62142806976132,-4.279403904027856,-36.67974937388866,32.4003454698608,32,31,32,-4.755319688090698,-4.637256684120872,/Users/Abel/clawd/simple_trader/backtest_results/1mo/LINK_BREAKOUT_backtest.png
XRP,BREAKOUT,long_only,2026-01-06,2026-02-06,30,745,91.0,86.6435886110988,57.75727828167288,-4.787265262528784,-36.53046342673309,31.74319816420431,32,31,32,-6.689056593489608,-2.864484506371363,/Users/Abel/clawd/simple_trader/backtest_results/1mo/XRP_BREAKOUT_backtest.png
AVAX,BREAKOUT,long_only,2026-01-06,2026-02-06,30,745,91.0,86.32925140195682,57.440873610707655,-5.132690767080417,-36.87816086735422,31.7454701002738,44,43,44,-7.846052795544613,-3.543093904567656,/Users/Abel/clawd/simple_trader/backtest_results/1mo/AVAX_BREAKOUT_backtest.png
ETH,BREAKOUT,long_only,2026-01-06,2026-02-06,30,745,91.0,86.243640241659,57.06945809007545,-5.226768965209894,-37.28630979112588,32.05954082591599,44,43,44,-5.613688372121339,-5.839889838076998,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ETH_BREAKOUT_backtest.png
NEAR,BREAKOUT,long_only,2026-01-06,2026-02-06,30,745,91.0,86.21696335848902,54.31588372681741,-5.256084221440627,-40.31221568481603,35.05613146337541,30,29,30,-9.149325436345816,-3.1989211784869984,/Users/Abel/clawd/simple_trader/backtest_results/1mo/NEAR_BREAKOUT_backtest.png
DOGE,SMA,long_only,2026-01-06,2026-02-06,30,745,91.0,86.16973602397678,59.89641858567635,-5.307982391234301,-34.17975979596005,28.87177740472575,18,17,18,-11.390374995842203,-1.5857882699620034,/Users/Abel/clawd/simple_trader/backtest_results/1mo/DOGE_SMA_backtest.png
DOT,COMBINED,long_only,2026-01-06,2026-02-06,30,745,91.0,86.08272978568992,55.479637993276306,-5.403593642098992,-39.03336484255351,33.62977120045452,20,19,20,-6.159058173426205,-5.425940966962459,/Users/Abel/clawd/simple_trader/backtest_results/1mo/DOT_COMBINED_backtest.png
XRP,MACD,long_only,2026-01-06,2026-02-06,30,745,91.0,85.9869404541102,57.75727828167288,-5.508856643834948,-36.53046342673309,31.021606782898147,72,71,72,-13.658215200378304,-1.4999755437411253,/Users/Abel/clawd/simple_trader/backtest_results/1mo/XRP_MACD_backtest.png
ATOM,SMA,long_only,2026-01-06,2026-02-06,30,745,91.0,84.86840165810817,71.65853565839275,-6.738020155925084,-21.254356419348632,14.516336263423547,30,29,30,-22.59872108411859,-1.6092319465457436,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ATOM_SMA_backtest.png
ADA,SMA,long_only,2026-01-06,2026-02-06,30,745,91.0,84.37775856098209,60.05695012982066,-7.27718839452518,-34.00335150569158,26.726163111166404,20,19,20,-14.402841969445124,-1.9748795599702966,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ADA_SMA_backtest.png
LTC,BREAKOUT,long_only,2026-01-06,2026-02-06,30,745,91.0,84.3399215203067,59.74254966917584,-7.318767560102524,-34.348846517389184,27.030078957286662,38,37,38,-7.355856621254893,-6.490289077079858,/Users/Abel/clawd/simple_trader/backtest_results/1mo/LTC_BREAKOUT_backtest.png
AVAX,COMBINED,long_only,2026-01-06,2026-02-06,30,745,91.0,84.32573916306542,57.440873610707655,-7.334352568059977,-36.87816086735422,29.54380829929424,22,21,22,-7.944045463607035,-6.111876604745957,/Users/Abel/clawd/simple_trader/backtest_results/1mo/AVAX_COMBINED_backtest.png
DOGE,COMBINED,long_only,2026-01-06,2026-02-06,30,745,91.0,83.93526300836182,59.89641858567635,-7.763447243558441,-34.17975979596005,26.41631255240161,24,23,24,-9.403253744766497,-4.941687557990973,/Users/Abel/clawd/simple_trader/backtest_results/1mo/DOGE_COMBINED_backtest.png
SOL,BREAKOUT,long_only,2026-01-06,2026-02-06,30,745,91.0,83.33466843300744,56.347863601786216,-8.423441282409405,-38.0792707672679,29.655829484858494,38,37,38,-9.757025766534953,-6.412969611841398,/Users/Abel/clawd/simple_trader/backtest_results/1mo/SOL_BREAKOUT_backtest.png
ETH,MACD,long_only,2026-01-06,2026-02-06,30,745,91.0,83.03505171541879,57.06945809007545,-8.752690422616716,-37.28630979112588,28.533619368509164,90,89,90,-18.0704456909329,-2.1243085699767157,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ETH_MACD_backtest.png
ATOM,MACD,long_only,2026-01-06,2026-02-06,30,745,91.0,82.69099545022284,71.65853565839275,-9.130774230524352,-21.254356419348632,12.12358218882428,84,83,84,-23.755649843915936,-1.9373356811981932,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ATOM_MACD_backtest.png
XRP,SMA,long_only,2026-01-06,2026-02-06,30,745,91.0,82.52679042881476,57.75727828167288,-9.311219308994767,-36.53046342673309,27.219244117738327,14,13,14,-9.311219308994765,-4.7948561102004446,/Users/Abel/clawd/simple_trader/backtest_results/1mo/XRP_SMA_backtest.png
ATOM,BREAKOUT,long_only,2026-01-06,2026-02-06,30,745,91.0,82.05547586192957,71.65853565839275,-9.829147404473005,-21.254356419348632,11.425209014875627,58,57,58,-10.17724337510671,-6.360750213871837,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ATOM_BREAKOUT_backtest.png
AVAX,SMA,long_only,2026-01-06,2026-02-06,30,745,91.0,82.04701259257197,57.440873610707655,-9.838447700470354,-36.87816086735422,27.039713166883864,20,19,20,-13.754904021884846,-3.43089023233013,/Users/Abel/clawd/simple_trader/backtest_results/1mo/AVAX_SMA_backtest.png
LTC,COMBINED,long_only,2026-01-06,2026-02-06,30,745,91.0,81.87943837005072,59.74254966917584,-10.022595197746465,-34.348846517389184,24.32625131964272,44,43,44,-10.979519052486058,-7.655568269982093,/Users/Abel/clawd/simple_trader/backtest_results/1mo/LTC_COMBINED_backtest.png
DOGE,BREAKOUT,long_only,2026-01-06,2026-02-06,30,745,91.0,81.77254183980787,59.89641858567635,-10.140063912299047,-34.17975979596005,24.039695883661004,40,39,40,-13.100472712083189,-4.625876720652179,/Users/Abel/clawd/simple_trader/backtest_results/1mo/DOGE_BREAKOUT_backtest.png
LINK,COMBINED,long_only,2026-01-06,2026-02-06,30,745,91.0,81.13428370329784,57.62142806976132,-10.84144647989248,-36.67974937388866,25.83830289399618,26,25,26,-11.228565264675687,-6.9221689789862335,/Users/Abel/clawd/simple_trader/backtest_results/1mo/LINK_COMBINED_backtest.png
ADA,BREAKOUT,long_only,2026-01-06,2026-02-06,30,745,91.0,80.96808875261367,60.05695012982066,-11.02407829383113,-34.00335150569158,22.979273211860452,44,43,44,-11.47314844653742,-6.551908932131241,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ADA_BREAKOUT_backtest.png
ADA,COMBINED,long_only,2026-01-06,2026-02-06,30,745,91.0,80.93869876312378,60.05695012982066,-11.056374985578266,-34.00335150569158,22.946976520113317,28,27,28,-12.020488113850746,-7.474842399357858,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ADA_COMBINED_backtest.png
LINK,SMA,long_only,2026-01-06,2026-02-06,30,745,91.0,80.17576489271109,57.62142806976132,-11.894763854163637,-36.67974937388866,24.784985519725026,18,17,18,-18.619321009771916,-3.741412578315603,/Users/Abel/clawd/simple_trader/backtest_results/1mo/LINK_SMA_backtest.png
ETH,SMA,long_only,2026-01-06,2026-02-06,30,745,91.0,80.02390774908679,57.06945809007545,-12.06163983616837,-37.28630979112588,25.224669954957513,26,25,26,-14.131314935682306,-4.632212188803498,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ETH_SMA_backtest.png
SOL,SMA,long_only,2026-01-06,2026-02-06,30,745,91.0,79.081113005397,56.347863601786216,-13.097678016047254,-38.0792707672679,24.981592751220646,30,29,30,-17.101988271987832,-4.559957099819848,/Users/Abel/clawd/simple_trader/backtest_results/1mo/SOL_SMA_backtest.png
NEAR,COMBINED,long_only,2026-01-06,2026-02-06,30,745,91.0,78.81131481258075,54.31588372681741,-13.39415954661456,-40.31221568481603,26.91805613820147,32,31,32,-13.526378049259769,-8.120796625091986,/Users/Abel/clawd/simple_trader/backtest_results/1mo/NEAR_COMBINED_backtest.png
SOL,MACD,long_only,2026-01-06,2026-02-06,30,745,91.0,78.12859437049795,56.347863601786216,-14.144401790661599,-38.0792707672679,23.934868976606303,80,79,80,-23.355536570886702,-3.8006491389229455,/Users/Abel/clawd/simple_trader/backtest_results/1mo/SOL_MACD_backtest.png
DOT,SMA,long_only,2026-01-06,2026-02-06,30,745,91.0,78.01487819227151,55.479637993276306,-14.269364623877456,-39.03336484255351,24.764000218676053,18,17,18,-15.293435819345689,-6.216975813802317,/Users/Abel/clawd/simple_trader/backtest_results/1mo/DOT_SMA_backtest.png
