asset,strategy,return_pct,hold_pct,trades,max_dd_pct
LTC,SMA_20_50_CROSSOVER,231.3,-65.1,3.0,-58.0
LINK,SMA_20_50_CROSSOVER,220.1,-57.3,5.0,-70.0
ETH,BREAKOUT_3X,133.3884824535505,-23.845445362498097,6.0,-57.80436570813015
BTC,SMA_20_50_CROSSOVER,96.0,-27.8,4.0,-45.0
ETH,SMA_20_50_CROSSOVER,42.6,117.2,5.0,-40.0
LTC,SMA,17.91039848044351,-50.15165104079886,4.0,-20.42663747246913
LINK,SMA,15.830855759769236,-57.58649979191275,6.0,-32.52786596745304
ETH,SMA,7.933019224678284,-23.845445362498097,6.0,-39.95917122044062
BTC,SMA,0.4833687630648953,-22.35122504299145,7.0,-24.24320955401939
ADA,SMA,-2.1725619553391473,-67.34350813143047,8.0,-33.05357987860868
ETH,MACD,-6.206304241031669,-23.845445362498097,30.0,-49.23342648170655
BTC,MACD,-6.770064735709402,-22.35122504299145,30.0,-21.37721655368269
XRP,SMA,-10.011351689975625,-43.54823058369991,6.0,-32.450535505293296
BTC,BREAKOUT_3X,-12.529040795699853,-22.35122504299145,8.0,-54.432433714572795
SOL,SMA,-21.831867322536645,-51.19798452815954,6.0,-48.883043181046034
SOL,MACD,-22.05042990961371,-51.19798452815954,28.0,-47.86815188116155
XRP,MACD,-28.952367459794193,-43.54823058369991,28.0,-51.10677710632893
DOGE,SMA,-29.093771904295195,-65.778113385235,8.0,-50.98596680295384
SOL,BREAKOUT_3X,-30.363057188944243,-51.19798452815954,6.0,-66.31733352403229
NEAR,MACD,-30.80991161183001,-72.00082516264892,24.0,-54.71068588146394
AVAX,MACD,-31.385471516604845,-68.7462756893716,24.0,-55.64688946456998
AVAX,SMA,-33.47363039700625,-68.7462756893716,6.0,-51.650064929125904
LTC,MACD,-35.60381238446229,-50.15165104079886,24.0,-46.12655931600718
LINK,MACD,-35.796531694853314,-57.58649979191275,26.0,-58.35429040776617
DOGE,MACD,-41.83789350316603,-65.778113385235,28.0,-68.24678635555773
ADA,BREAKOUT_3X,-44.79064711180874,-67.34350813143047,4.0,-66.76583819608953
ATOM,SMA,-51.07057483211401,-66.35671149674266,9.0,-57.01094697873693
LINK,BREAKOUT_3X,-54.64169872861564,-57.58649979191275,6.0,-68.39967022006076
DOT,SMA,-57.221100411568585,-74.24884852778483,10.0,-68.05042116554137
ADA,MACD,-57.44331440847521,-67.34350813143047,28.0,-67.61568021632024
DOT,MACD,-59.24837731932262,-74.24884852778483,26.0,-74.39993833277254
NEAR,SMA,-61.60375964339826,-72.00082516264892,10.0,-68.74785906526678
ATOM,MACD,-74.08307234752301,-66.35671149674266,34.0,-80.6792083084717
XRP,BREAKOUT_3X,-75.8461152672471,-43.54823058369991,8.0,-87.32487435397884
AVAX,BREAKOUT_3X,-78.59854802096791,-68.7462756893716,6.0,-85.9683992637294
DOGE,BREAKOUT_3X,-81.40438893429275,-65.778113385235,6.0,-89.48797669995852
LTC,BREAKOUT_3X,-88.44656866122035,-50.15165104079886,8.0,-93.42026422127772
ATOM,BREAKOUT_3X,-91.15021418410632,-66.35671149674266,8.0,-91.13247914239112
DOT,BREAKOUT_3X,-96.32634971267048,-74.24884852778483,6.0,-97.67648939898169
NEAR,BREAKOUT_3X,-100.89517172601148,-72.00082516264892,10.0,-101.68478029703569
