asset,strategy,start_date,end_date,trading_days,candles,initial_capital,final_value,hold_final_value,strategy_return_pct,hold_return_pct,outperformance_pct,total_trades,buy_signals,sell_signals,max_drawdown_pct,sharpe_ratio,plot_file
AVAX,MACD,2025-02-01,2026-02-01,180,8727,91.0,310.0072815239694,27.136866183144384,240.66734233403233,-70.17926793061056,310.8466102646429,643,642,643,-43.85011468121048,1.849834417389331,/Users/Abel/clawd/simple_trader/backtest_results/6mo/AVAX_MACD_backtest.png
AVAX,COMBINED,2025-02-01,2026-02-01,180,8727,91.0,273.24208299890597,27.136866183144384,200.26602527352307,-70.17926793061056,270.44529320413363,816,815,816,-26.249774029793592,2.1715235399988146,/Users/Abel/clawd/simple_trader/backtest_results/6mo/AVAX_COMBINED_backtest.png
ADA,COMBINED,2025-02-01,2026-02-01,180,8727,91.0,185.0728641045118,28.825272183041914,103.37677374122177,-68.32387672193197,171.70065046315375,807,806,807,-27.97326582037264,1.4194122324460583,/Users/Abel/clawd/simple_trader/backtest_results/6mo/ADA_COMBINED_backtest.png
NEAR,MACD,2025-02-01,2026-02-01,180,8729,91.0,179.70153361714642,24.322244600241593,97.47421276609498,-73.27225868105319,170.74647144714817,677,676,677,-55.56240465818334,1.188832780677113,/Users/Abel/clawd/simple_trader/backtest_results/6mo/NEAR_MACD_backtest.png
ADA,SMA,2025-02-01,2026-02-01,180,8727,91.0,166.0584915878798,28.825272183041914,82.48185888777999,-68.32387672193197,150.80573560971197,189,188,189,-65.72915965537949,1.0955269091712843,/Users/Abel/clawd/simple_trader/backtest_results/6mo/ADA_SMA_backtest.png
XRP,MACD,2025-02-01,2026-02-01,180,8730,91.0,163.0777795187413,50.20182765762021,79.20635111949592,-44.833156420197575,124.03950753969349,661,660,661,-28.37837087148393,1.1445232486442434,/Users/Abel/clawd/simple_trader/backtest_results/6mo/XRP_MACD_backtest.png
AVAX,SMA,2025-02-01,2026-02-01,180,8727,91.0,160.24126012835563,27.136866183144384,76.08929684434685,-70.17926793061056,146.2685647749574,189,188,189,-45.585281625664855,1.0875230141025545,/Users/Abel/clawd/simple_trader/backtest_results/6mo/AVAX_SMA_backtest.png
NEAR,COMBINED,2025-02-01,2026-02-01,180,8729,91.0,147.23392201935874,24.322244600241593,61.795518702592034,-73.27225868105319,135.06777738364522,853,852,853,-34.54558151866784,1.0727296793743264,/Users/Abel/clawd/simple_trader/backtest_results/6mo/NEAR_COMBINED_backtest.png
XRP,COMBINED,2025-02-01,2026-02-01,180,8730,91.0,145.22093731225144,50.20182765762021,59.5834475958807,-44.833156420197575,104.41660401607828,859,858,859,-30.829003696819868,1.1607234352853042,/Users/Abel/clawd/simple_trader/backtest_results/6mo/XRP_COMBINED_backtest.png
ADA,MACD,2025-02-01,2026-02-01,180,8727,91.0,125.80041182655592,28.825272183041914,38.2422107984131,-68.32387672193197,106.56608752034506,641,640,641,-42.21146759181479,0.828912969963155,/Users/Abel/clawd/simple_trader/backtest_results/6mo/ADA_MACD_backtest.png
DOGE,COMBINED,2025-02-01,2026-02-01,180,8728,91.0,123.32504997964394,29.593519487932742,35.52203294466367,-67.47964891435963,103.00168185902331,838,837,838,-31.40578978870382,0.8059203836777391,/Users/Abel/clawd/simple_trader/backtest_results/6mo/DOGE_COMBINED_backtest.png
SOL,MACD,2025-02-01,2026-02-01,180,8729,91.0,118.69332991845121,41.916795457684756,30.432230679616712,-53.937587409137635,84.36981808875434,641,640,641,-49.75442527320797,0.732335598816377,/Users/Abel/clawd/simple_trader/backtest_results/6mo/SOL_MACD_backtest.png
DOGE,SMA,2025-02-01,2026-02-01,180,8728,91.0,115.35562483773707,29.593519487932742,26.76442289861216,-67.47964891435963,94.24407181297178,187,186,187,-57.01384077991468,0.7062547169870074,/Users/Abel/clawd/simple_trader/backtest_results/6mo/DOGE_SMA_backtest.png
BTC,MACD,2025-02-01,2026-02-01,180,8730,91.0,113.99127206354866,70.22817108454176,25.265134135767763,-22.826185621382688,48.09131975715045,657,656,657,-43.49977804602306,0.7441082275239144,/Users/Abel/clawd/simple_trader/backtest_results/6mo/BTC_MACD_backtest.png
LINK,MACD,2025-02-01,2026-02-01,180,8727,91.0,113.76419482498275,36.03582458561979,25.01559870877226,-60.40019276305517,85.41579147182743,693,692,693,-49.18302387463488,0.6898666687363768,/Users/Abel/clawd/simple_trader/backtest_results/6mo/LINK_MACD_backtest.png
ATOM,MACD,2025-02-01,2026-02-01,180,8728,91.0,112.33339668326595,28.825423580383607,23.44329305853401,-68.32371035122681,91.76700340976082,679,678,679,-54.40220396057654,0.6557177932258275,/Users/Abel/clawd/simple_trader/backtest_results/6mo/ATOM_MACD_backtest.png
ETH,MACD,2025-02-01,2026-02-01,180,8727,91.0,111.4155550833877,67.21152319748437,22.434675915810654,-26.14118329946773,48.575859215278385,669,668,669,-47.6995598322241,0.6399595393903806,/Users/Abel/clawd/simple_trader/backtest_results/6mo/ETH_MACD_backtest.png
LTC,MACD,2025-02-01,2026-02-01,180,8729,91.0,108.95378690520575,43.41766802494313,19.72943615956675,-52.28827689566688,72.01771305523363,687,686,687,-46.2754602921866,0.6172729418365398,/Users/Abel/clawd/simple_trader/backtest_results/6mo/LTC_MACD_backtest.png
ETH,COMBINED,2025-02-01,2026-02-01,180,8727,91.0,95.70470961999743,67.21152319748437,5.170010571425743,-26.14118329946773,31.311193870893472,844,843,844,-24.709143692850404,0.341748993072213,/Users/Abel/clawd/simple_trader/backtest_results/6mo/ETH_COMBINED_backtest.png
XRP,SMA,2025-02-01,2026-02-01,180,8730,91.0,93.43818920658462,50.20182765762021,2.6793287984446357,-44.833156420197575,47.51248521864221,211,210,211,-55.92198657469023,0.41861931873174224,/Users/Abel/clawd/simple_trader/backtest_results/6mo/XRP_SMA_backtest.png
DOGE,MACD,2025-02-01,2026-02-01,180,8728,91.0,89.01549305712616,29.593519487932742,-2.1807768603009148,-67.47964891435963,65.29887205405872,669,668,669,-49.573599702253965,0.40708931312394875,/Users/Abel/clawd/simple_trader/backtest_results/6mo/DOGE_MACD_backtest.png
BTC,COMBINED,2025-02-01,2026-02-01,180,8730,91.0,87.96033757942666,70.22817108454176,-3.340288374256417,-22.826185621382688,19.48589724712627,827,826,827,-32.93184347887153,0.016816035128264344,/Users/Abel/clawd/simple_trader/backtest_results/6mo/BTC_COMBINED_backtest.png
NEAR,SMA,2025-02-01,2026-02-01,180,8729,91.0,72.1806436089397,24.322244600241593,-20.680611418747574,-73.27225868105319,52.591647262305614,195,194,195,-68.29123901552508,0.24128746973170195,/Users/Abel/clawd/simple_trader/backtest_results/6mo/NEAR_SMA_backtest.png
SOL,COMBINED,2025-02-01,2026-02-01,180,8729,91.0,64.4484013588727,41.916795457684756,-29.177580924315716,-53.937587409137635,24.76000648482192,820,819,820,-45.981119041013784,-0.3908686977779196,/Users/Abel/clawd/simple_trader/backtest_results/6mo/SOL_COMBINED_backtest.png
ETH,SMA,2025-02-01,2026-02-01,180,8727,91.0,63.01957954070511,67.21152319748437,-30.747714790433946,-26.14118329946773,-4.606531490966216,203,202,203,-62.34945143744106,-0.1802053755201225,/Users/Abel/clawd/simple_trader/backtest_results/6mo/ETH_SMA_backtest.png
BTC,SMA,2025-02-01,2026-02-01,180,8730,91.0,61.25651976876066,70.22817108454176,-32.685143111252025,-22.826185621382688,-9.858957489869336,199,198,199,-54.602129734413396,-0.7220528031058738,/Users/Abel/clawd/simple_trader/backtest_results/6mo/BTC_SMA_backtest.png
LINK,COMBINED,2025-02-01,2026-02-01,180,8727,91.0,60.05849653575573,36.03582458561979,-34.00165215851019,-60.40019276305517,26.398540604544984,881,880,881,-50.35390073664413,-0.4179145018886718,/Users/Abel/clawd/simple_trader/backtest_results/6mo/LINK_COMBINED_backtest.png
ATOM,COMBINED,2025-02-01,2026-02-01,180,8728,91.0,57.82944007370048,28.825423580383607,-36.451164754175295,-68.32371035122681,31.872545597051513,851,850,851,-47.9212793851086,-0.5617235145302745,/Users/Abel/clawd/simple_trader/backtest_results/6mo/ATOM_COMBINED_backtest.png
DOT,MACD,2025-02-01,2026-02-01,180,8729,91.0,57.68109904615284,22.299462674044296,-36.614176872359515,-75.49509596258869,38.88091909022918,685,684,685,-56.05109548450472,-0.12695978495510737,/Users/Abel/clawd/simple_trader/backtest_results/6mo/DOT_MACD_backtest.png
DOT,COMBINED,2025-02-01,2026-02-01,180,8729,91.0,49.89970647268722,22.299462674044296,-45.16515772232174,-75.49509596258869,30.329938240266955,870,869,870,-50.54867968441737,-0.8114273545503887,/Users/Abel/clawd/simple_trader/backtest_results/6mo/DOT_COMBINED_backtest.png
