asset,strategy,start_date,end_date,trading_days,candles,initial_capital,final_value,hold_final_value,strategy_return_pct,hold_return_pct,outperformance_pct,total_trades,buy_signals,sell_signals,max_drawdown_pct,sharpe_ratio,plot_file
AVAX,MACD,2025-02-01,2026-02-01,180,8727,91.0,201.89192881464072,27.028507766892304,121.85926243367113,-70.29834311330517,192.1576055469763,1629,1628,1629,-42.420119186346575,1.4746578518429014,/Users/Abel/clawd/simple_trader/backtest_results/6mo/AVAX_MACD_backtest.png
AVAX,COMBINED,2025-02-01,2026-02-01,180,8727,91.0,182.22486062235959,27.028507766892304,100.24709958501052,-70.29834311330517,170.5454426983157,1198,1197,1198,-15.598771729805907,1.903907053904391,/Users/Abel/clawd/simple_trader/backtest_results/6mo/AVAX_COMBINED_backtest.png
NEAR,MACD,2025-02-01,2026-02-01,180,8729,91.0,151.621193932366,24.17102701030238,66.61669662897363,-73.43843185681057,140.0551284857842,1643,1642,1643,-53.76194381758792,1.0311178869403617,/Users/Abel/clawd/simple_trader/backtest_results/6mo/NEAR_MACD_backtest.png
XRP,MACD,2025-02-01,2026-02-01,180,8730,91.0,140.38711006515996,49.74791684975259,54.271549522153805,-45.33195950576639,99.6035090279202,1699,1698,1699,-39.2638095580985,1.0030941782409233,/Users/Abel/clawd/simple_trader/backtest_results/6mo/XRP_MACD_backtest.png
NEAR,COMBINED,2025-02-01,2026-02-01,180,8729,91.0,134.75099620342172,24.17102701030238,48.07801780595793,-73.43843185681057,121.5164496627685,1263,1262,1263,-32.47244766204525,1.0590126823655444,/Users/Abel/clawd/simple_trader/backtest_results/6mo/NEAR_COMBINED_backtest.png
ADA,COMBINED,2025-02-01,2026-02-01,180,8727,91.0,120.85091314833639,28.6892002558992,32.80320126190812,-68.47340631219868,101.2766075741068,1231,1229,1231,-23.725249365201957,0.8666611471447467,/Users/Abel/clawd/simple_trader/backtest_results/6mo/ADA_COMBINED_backtest.png
BTC,MACD,2025-02-01,2026-02-01,180,8730,91.0,114.15197585037346,69.90311064083384,25.44173170370709,-23.183394900182584,48.625126603889676,1648,1647,1648,-33.37600392763533,0.8151168502324687,/Users/Abel/clawd/simple_trader/backtest_results/6mo/BTC_MACD_backtest.png
AVAX,SMA,2025-02-01,2026-02-01,180,8727,91.0,109.96912329885417,27.028507766892304,20.845190438301287,-70.29834311330517,91.14353355160645,882,881,882,-48.22583907798988,0.6294424040336408,/Users/Abel/clawd/simple_trader/backtest_results/6mo/AVAX_SMA_backtest.png
ADA,SMA,2025-02-01,2026-02-01,180,8727,91.0,105.8083446599827,28.6892002558992,16.272906219761207,-68.47340631219868,84.74631253195989,884,882,884,-61.81772023034517,0.5831978743316344,/Users/Abel/clawd/simple_trader/backtest_results/6mo/ADA_SMA_backtest.png
XRP,COMBINED,2025-02-01,2026-02-01,180,8730,91.0,99.19799269168239,49.74791684975259,9.008783177672953,-45.33195950576639,54.340742683439345,1281,1280,1281,-25.89352996985704,0.42108898241382076,/Users/Abel/clawd/simple_trader/backtest_results/6mo/XRP_COMBINED_backtest.png
LTC,MACD,2025-02-01,2026-02-01,180,8729,91.0,94.77692117521306,43.14475394656266,4.1504628299044555,-52.588182476304766,56.73864530620922,1678,1677,1678,-48.44794421392451,0.3891653796238785,/Users/Abel/clawd/simple_trader/backtest_results/6mo/LTC_MACD_backtest.png
BTC,COMBINED,2025-02-01,2026-02-01,180,8730,91.0,90.21232380932936,69.90311064083384,-0.8655782315061922,-23.183394900182584,22.317816668676393,1209,1208,1209,-19.566316912948857,0.05706385578655869,/Users/Abel/clawd/simple_trader/backtest_results/6mo/BTC_COMBINED_backtest.png
ATOM,MACD,2025-02-01,2026-02-01,180,8728,91.0,87.41202701491623,28.75238107869009,-3.942827456136011,-68.4039768366043,64.46114938046829,1696,1695,1696,-49.52058774405773,0.2447179666309952,/Users/Abel/clawd/simple_trader/backtest_results/6mo/ATOM_MACD_backtest.png
SOL,MACD,2025-02-01,2026-02-01,180,8729,91.0,84.84027182036178,41.65410902102804,-6.768932065536504,-54.22625382304611,47.457321757509604,1615,1614,1615,-52.366226898220724,0.23472572266383654,/Users/Abel/clawd/simple_trader/backtest_results/6mo/SOL_MACD_backtest.png
ETH,COMBINED,2025-02-01,2026-02-01,180,8727,91.0,78.0886047901389,66.88269213117192,-14.188346384462747,-26.50253611959129,12.314189735128544,1161,1160,1161,-25.427946828919843,-0.3003577190902558,/Users/Abel/clawd/simple_trader/backtest_results/6mo/ETH_COMBINED_backtest.png
DOT,COMBINED,2025-02-01,2026-02-01,180,8729,91.0,74.27865455126332,21.891137934625,-18.375104888721626,-75.94380446744505,57.568699578723425,1268,1267,1268,-38.79686859158794,-0.2931947878529024,/Users/Abel/clawd/simple_trader/backtest_results/6mo/DOT_COMBINED_backtest.png
