asset,strategy,return_pct,hold_pct,trades,max_dd_pct
LTC,SMA_3X_SHORT,210.85587188001358,-50.106156370142486,9,-58.36699604275576
ETH,BREAKOUT_3X_SHORT,145.64724203191582,-23.55697013796798,13,-76.84803859672881
LINK,SMA_3X_SHORT,123.53654343527087,-57.56256706769427,13,-69.99648716056286
ADA,SMA_3X_SHORT,23.3201378238445,-67.31060404912049,15,-91.49891323029527
BTC,SMA_3X_SHORT,-5.956476910675423,-22.207883976008613,15,-51.39242809161543
BTC,BREAKOUT_3X_SHORT,-30.723028389890416,-22.207883976008613,17,-68.90382978745401
XRP,SMA_3X_SHORT,-60.6694587795273,-43.55009447577106,13,-85.19655561839936
ADA,BREAKOUT_3X_SHORT,-61.05802355435805,-67.31060404912049,9,-94.3600817888423
LINK,BREAKOUT_3X_SHORT,-67.33992350118316,-57.56256706769427,13,-93.75816142758617
SOL,BREAKOUT_3X_SHORT,-67.92780661781704,-51.16266131072762,13,-95.00604729002079
ETH,SMA_3X_SHORT,-76.59542490057554,-23.55697013796798,13,-87.94605359766251
AVAX,BREAKOUT_3X_SHORT,-76.90613571410961,-68.73015750714931,13,-93.59566858727172
DOGE,BREAKOUT_3X_SHORT,-80.67178523496482,-65.72439600322575,13,-91.83504206220982
DOGE,SMA_3X_SHORT,-85.16856485110544,-65.72439600322575,17,-97.45337141597322
AVAX,SMA_3X_SHORT,-85.41514231663685,-68.73015750714931,13,-92.61651753825116
XRP,BREAKOUT_3X_SHORT,-87.43036813936767,-43.55009447577106,17,-94.45084573922847
SOL,SMA_3X_SHORT,-88.09380923471655,-51.16266131072762,13,-92.55849157866484
DOT,BREAKOUT_3X_SHORT,-93.32394646059696,-74.23301148182813,13,-97.01998985926619
LTC,BREAKOUT_3X_SHORT,-94.76735307061175,-50.106156370142486,17,-98.67536795691231
ATOM,BREAKOUT_3X_SHORT,-97.80674477714071,-66.34159855935725,17,-98.85711674329225
DOT,SMA_3X_SHORT,-98.96297684641132,-74.23301148182813,21,-99.61534960302573
NEAR,SMA_3X_SHORT,-99.95829751287579,-71.95722250096071,21,-100.01729911890666
ATOM,SMA_3X_SHORT,-100.03816405864005,-66.34159855935725,19,-102.72392997810496
NEAR,BREAKOUT_3X_SHORT,-100.09070113493456,-71.95722250096071,21,-100.17216750564432
