asset,strategy,return_pct,hold_pct,trades,max_dd_pct
ADA,BREAKOUT_3X_SHORT,183.41849156604007,-58.9847712565275,1,-42.99384455184757
LTC,SMA_3X_SHORT,142.84565130965166,-44.364966074944675,1,-47.73782269619498
ADA,SMA_3X_SHORT,136.54949065485394,-58.9847712565275,7,-46.67054801608788
LINK,SMA_3X_SHORT,54.731555879103745,-39.253943541462114,7,-55.29540211872083
LINK,BREAKOUT_3X_SHORT,34.83882332920931,-39.253943541462114,5,-65.7144350539433
ETH,BREAKOUT_3X_SHORT,27.587216250186387,-31.665860298605576,5,-66.21912630844936
ATOM,BREAKOUT_3X_SHORT,21.27813272186532,-52.66775148802837,5,-61.73166252805905
BTC,BREAKOUT_3X_SHORT,4.455894190335075,-30.901606076978716,7,-46.959786902678395
BTC,SMA_3X_SHORT,1.4524321036513577,-30.901606076978716,7,-51.39242809161543
SOL,BREAKOUT_3X_SHORT,-5.245888006053612,-35.898343059642336,7,-84.44712525102378
XRP,SMA_3X_SHORT,-7.700236383073811,-45.07583827184233,5,-63.831891472660786
ATOM,SMA_3X_SHORT,-35.87421358044334,-52.66775148802837,5,-68.95367847755256
DOGE,BREAKOUT_3X_SHORT,-72.743394980682,-47.47374675238646,7,-86.18244477569465
XRP,BREAKOUT_3X_SHORT,-75.66617937817145,-45.07583827184233,9,-84.15552650535871
ETH,SMA_3X_SHORT,-76.89168631607728,-31.665860298605576,7,-78.65593405232921
AVAX,BREAKOUT_3X_SHORT,-85.9630982867284,-53.321323757169445,7,-96.08263429299538
DOGE,SMA_3X_SHORT,-86.19509720128808,-47.47374675238646,7,-95.83812494414568
LTC,BREAKOUT_3X_SHORT,-93.27478762957432,-44.364966074944675,9,-97.19812770583385
SOL,SMA_3X_SHORT,-95.3663879364482,-35.898343059642336,7,-95.33847468557322
AVAX,SMA_3X_SHORT,-96.35219596918067,-53.321323757169445,7,-111.98256109080067
DOT,BREAKOUT_3X_SHORT,-96.41463117436565,-57.048755029034126,7,-97.68755917026037
NEAR,SMA_3X_SHORT,-98.54284527833823,-50.509154425546186,11,-101.16874584658578
DOT,SMA_3X_SHORT,-98.83664649805067,-57.048755029034126,7,-98.85058931356683
NEAR,BREAKOUT_3X_SHORT,-100.36265558159683,-50.509154425546186,13,-101.35087494144204
