asset,strategy,return_pct,hold_pct,trades,max_dd_pct
ATOM,MACD,18.558452108540745,-35.17474244089699,4,-7.6966258219803505
XRP,MACD,10.431408543132893,-35.00331335990683,2,-12.612924905667292
AVAX,MACD,9.046175551164048,-46.173692666042356,4,-11.921567496935044
SOL,MACD,2.806451170948421,-43.98171189026774,4,-9.140614407431716
LTC,BREAKOUT,0.0,-41.488922833472174,0,0.0
LTC,SMA,0.0,-41.488922833472174,0,0.0
ADA,BREAKOUT,0.0,-52.05300434376443,0,0.0
LINK,MACD,-3.2081587719466675,-42.87338410848262,4,-11.511553036419073
ADA,SMA,-3.3453326860804045,-52.05300434376443,2,-7.380972075475389
BTC,MACD,-3.3913210441654296,-28.857439072744175,4,-8.891449101850444
ETH,MACD,-3.67568677383201,-38.47110981043532,4,-12.493341068852319
NEAR,MACD,-4.25829439528801,-44.888797833990466,4,-18.743080462504462
LTC,MACD,-5.715438139255946,-41.488922833472174,6,-11.274952663207115
BTC,BREAKOUT,-7.78668194728337,-28.857439072744175,2,-10.685217338598976
DOGE,MACD,-9.238481303214607,-43.56543073141253,8,-16.55779128464706
DOT,MACD,-9.586573279920996,-48.569011940738704,4,-20.25503450638698
DOGE,SMA,-9.989638000597123,-43.56543073141253,2,-14.78337992773743
ADA,MACD,-10.687384604856964,-52.05300434376443,6,-25.42148567272283
LINK,SMA,-12.683884829849191,-42.87338410848262,2,-16.531563419216585
SOL,BREAKOUT,-13.92645901484535,-43.98171189026774,2,-19.066040647180714
BTC,SMA,-13.979092083815692,-28.857439072744175,1,-19.21706165751885
ETH,BREAKOUT,-15.237163455535608,-38.47110981043532,2,-16.061545698752592
ATOM,BREAKOUT,-15.785268840794565,-35.17474244089699,2,-25.157081118377317
LINK,BREAKOUT,-18.06437394561907,-42.87338410848262,2,-18.483695497209396
AVAX,BREAKOUT,-18.323970535497168,-46.173692666042356,2,-18.323970535497164
XRP,SMA,-19.035746821519272,-35.00331335990683,2,-19.035746821519272
ATOM,SMA,-20.792777843807652,-35.17474244089699,1,-25.33652858659716
DOGE,BREAKOUT,-21.572182928155904,-43.56543073141253,2,-22.86883213683416
XRP,BREAKOUT,-21.95894379869846,-35.00331335990683,2,-21.95894379869846
NEAR,BREAKOUT,-22.74281846392796,-44.888797833990466,2,-22.74281846392796
DOT,BREAKOUT,-24.06373276409475,-48.569011940738704,2,-24.063732764094752
ETH,SMA,-24.728061203603957,-38.47110981043532,2,-28.94360824118052
AVAX,SMA,-25.189310479021433,-46.173692666042356,2,-25.189310479021426
NEAR,SMA,-26.879519486829984,-44.888797833990466,2,-26.879519486829984
DOT,SMA,-27.926099349932755,-48.569011940738704,2,-29.91385421328931
SOL,SMA,-28.855252957289103,-43.98171189026774,2,-28.855252957289103
