asset,strategy,mode,return_pct,hold_pct,trades,max_dd_pct
ETH,BREAKOUT,LONG_ONLY,57.504131648089604,-23.675590561537863,6,-26.263277470218462
LTC,SMA,LONG_ONLY,17.91039848044351,-50.13040501035484,4,-20.42663747246913
LINK,SMA,LONG_ONLY,15.830855759769236,-57.580417304948504,6,-32.52786596745304
ETH,SMA,LONG_ONLY,8.173752580479654,-23.675590561537863,6,-39.82525640641035
BTC,SMA,LONG_ONLY,0.5745087831959816,-22.28079636409811,7,-24.174496935291476
BTC,BREAKOUT,LONG_ONLY,-0.7626214481290305,-22.28079636409811,8,-22.376787975794795
ADA,SMA,LONG_ONLY,-2.1725619553391473,-67.31508463325588,8,-33.05357987860868
LINK,BREAKOUT,LONG_ONLY,-5.4185396690179966,-57.580417304948504,6,-33.64568464185375
ETH,MACD,LONG_ONLY,-6.206304241031669,-23.675590561537863,30,-49.23342648170655
BTC,MACD,LONG_ONLY,-6.770064735709402,-22.28079636409811,30,-21.37721655368269
SOL,BREAKOUT,LONG_ONLY,-7.363706448150909,-51.18239634734092,6,-33.132427053230955
XRP,SMA,LONG_ONLY,-10.011351689975623,-43.56592722637982,6,-32.450535505293296
ADA,BREAKOUT,LONG_ONLY,-12.114275697503697,-67.31508463325588,4,-26.75161138444824
SOL,SMA,LONG_ONLY,-21.80689911221482,-51.18239634734092,6,-48.8667155692028
SOL,MACD,LONG_ONLY,-22.05042990961371,-51.18239634734092,28,-47.86815188116155
XRP,BREAKOUT,LONG_ONLY,-27.03521925280813,-43.56592722637982,8,-46.90358954846087
XRP,MACD,LONG_ONLY,-28.952367459794193,-43.56592722637982,28,-51.10677710632893
DOGE,SMA,LONG_ONLY,-29.093771904295195,-65.73731794272672,8,-50.98596680295384
NEAR,MACD,LONG_ONLY,-30.80991161183001,-71.96915168903234,24,-54.71068588146394
AVAX,MACD,LONG_ONLY,-31.385471516604845,-68.7444798411593,24,-55.64688946456998
AVAX,BREAKOUT,LONG_ONLY,-33.031760507344785,-68.7444798411593,6,-51.93478727308379
AVAX,SMA,LONG_ONLY,-33.47363039700625,-68.7444798411593,6,-51.650064929125904
DOGE,BREAKOUT,LONG_ONLY,-34.59276705383595,-65.73731794272672,6,-48.03563865665725
LTC,MACD,LONG_ONLY,-35.60381238446229,-50.13040501035484,24,-46.12655931600718
LINK,MACD,LONG_ONLY,-35.796531694853314,-57.580417304948504,26,-58.35429040776617
LTC,BREAKOUT,LONG_ONLY,-36.34141824888418,-50.13040501035484,8,-51.074388811778945
DOGE,MACD,LONG_ONLY,-41.837893503166036,-65.73731794272672,28,-68.24678635555773
ATOM,BREAKOUT,LONG_ONLY,-47.59591570820654,-66.35319120593354,8,-47.59591570820654
ATOM,SMA,LONG_ONLY,-51.06545506489218,-66.35319120593354,9,-57.00644878682479
DOT,BREAKOUT,LONG_ONLY,-51.40300712618635,-74.24638449521193,6,-59.360502664404265
DOT,SMA,LONG_ONLY,-57.21700705667017,-74.24638449521193,10,-68.04736402834799
ADA,MACD,LONG_ONLY,-57.44331440847521,-67.31508463325588,28,-67.61568021632024
DOT,MACD,LONG_ONLY,-59.24837731932262,-74.24638449521193,26,-74.39993833277254
NEAR,SMA,LONG_ONLY,-61.60375964339826,-71.96915168903234,10,-68.74785906526678
NEAR,BREAKOUT,LONG_ONLY,-69.2886643778093,-71.96915168903234,10,-75.00289142258241
ATOM,MACD,LONG_ONLY,-74.08307234752301,-66.35319120593354,34,-80.6792083084717
